id,category,subcategory,name,address,borough,zip,license_id,license_status,lat,lon,source,source_url
sla:0100-21-115713,liquor,Liquor Store,Brown & White Wines & Liquor Inc,"311 E 23RD ST, NEW YORK, NY, 10010",Manhattan,10010,0100-21-115713,Active,40.73753,-73.97999,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-25-102727,liquor,Liquor Store,Beverly Wine & Spirits Inc,"2921 Beverley Rd, Brooklyn, NY, 11226",Brooklyn,11226,0100-25-102727,Active,40.64511,-73.94932,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-115782,liquor,Liquor Store,Wines & Liquor 14Th St Llc,"289 BEACH 14TH ST, FAR ROCKAWAY, NY, 11691",Queens,11691,0100-22-115782,Active,40.59792,-73.74818,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-25-130269,liquor,Liquor Store,Jasmine Liquors Inc.,"615 Livonia Ave, Brooklyn, NY, 11207",Brooklyn,11207,0100-25-130269,Active,40.66469,-73.89446,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-24-130203,liquor,Liquor Store,King Liquor Store Inc,"3756-3758 Nostrand Ave, BROOKLYN, NY, 11235",Brooklyn,11235,0100-24-130203,Active,40.59236,-73.9403,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116842,liquor,Liquor Store,L & O Beverages Inc,"5307 B ROCKAWAY BEACH BLVD, FAR ROCKAWAY, NY, 11691",Queens,11691,0100-22-116842,Active,40.59257,-73.78387,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116756,liquor,Liquor Store,Todt Hill Liquors Inc,"760 MANOR ROAD, STATEN ISLAND, NY, 10314",Staten Island,10314,0100-22-116756,Active,40.60881,-74.12164,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-20-103720,liquor,Liquor Store,Amboy Wines & Liquors Inc,"6390 AMBOY RD, STATEN ISLAND, NY, 10309",Staten Island,10309,0100-20-103720,Active,40.52223,-74.2162,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-118187,liquor,Liquor Store,Blue Streak Wines & Spirits Llc,"47 20 CENTER BLVD, LONG ISLAND CITY, NY, 11109",Queens,11109,0100-22-118187,Active,40.74596,-73.95685,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-25-101491,liquor,Liquor Store,"Fine Wine And Spirits 1987, Llc","486 9th Ave, New York, NY, 10018",Manhattan,10018,0100-25-101491,Active,40.75546,-73.99479,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
